class_a, sql,polygon_policy,point_if_small_area
antique_store,WHERE shop= 'antiques',,
art_gallery,WHERE tourism= 'art_gallery' OR amenity= 'arts_centre',,
atm,WHERE amenity= 'atm',,
baby_store,WHERE shop= 'baby_goods',,
bag_store,WHERE shop= 'bag',,
bakery,,,
bank,WHERE amenity= 'bank',,
bar,WHERE amenity= 'bar',,
beach,"WHERE ""natural""= 'beach'",,
beauty_store,WHERE shop= 'beauty',,
beverage_store,WHERE shop= 'beverages',,
bicycle_store,WHERE shop= 'bicycle',,
biergarten,WHERE amenity = 'biergarten',,
book_store,WHERE shop= 'books',,
bus_stop,WHERE amenity= 'bus_station' OR highway= 'bus_stop' OR public_transport= 'stop_position' AND bus= 'yes',,
butcher,WHERE shop= 'butcher',,
cafe,WHERE amenity= 'cafe',,
cheese_store,WHERE shop= 'cheese',,
chemist,WHERE shop = 'chemist',,
childcare,WHERE amenity= 'kindergarten' OR amenity= 'childcare',,
cinema,WHERE amenity= 'cinema',,
clinic,WHERE amenity= 'clinic',,
clothing_store,WHERE shop= 'clothes',,
coffee_shop,WHERE shop= 'coffee',,
college,WHERE amenity= 'college' OR isced:level = '4' OR isced:level = '5',,
community_centre,WHERE amenity= 'community_centre',,
concert_hall,WHERE amenity= 'concert_hall',,
confectionery_store,WHERE shop= 'chocolate' OR shop= 'confectionery',,
convenience_store,WHERE shop= 'convenience',,
copy_shop,WHERE shop= 'copyshop',,
cosmetics_store,WHERE shop= 'cosmetics',,
coworking_space,WHERE office= 'coworking',,
craft_store,WHERE shop= 'craft',,
dairy_store,WHERE shop= 'dairy',,
dance_studio,WHERE amenity= 'dancing_school',,
deli_store,WHERE shop= 'deli',,
dentist,WHERE amenity= 'dentist' OR healthcare= 'dentist' OR (amenity= 'doctors' AND (healthcare:speciality = 'dentist' OR healthcare:speciality = 'dentistry')),,
department_store,WHERE shop= 'department_store',,
electronics_store,WHERE shop= 'electronics' OR shop= 'computer' OR shop= 'camera' OR shop = 'photo',,
fashion_accessories_store,WHERE shop= 'fashion_accessories',,
fast_food,WHERE amenity= 'fast_food',,
fitness_centre,WHERE leisure= 'fitness_centre',,
fitness_station,WHERE leisure= 'fitness_station',,
florist,WHERE shop= 'florist',,
food_court,WHERE amenity= 'food_court',,
forest,"WHERE landuse= 'forest' OR ""natural""= 'wood'",,
framing_store,WHERE shop= 'frame',,
garden,WHERE leisure= 'garden',,
general_practitioner,WHERE (amenity= 'doctors' or healthcare = 'doctor') AND (healthcare:speciality is null OR healthcare:speciality = 'general'),,
gift_store,WHERE shop= 'gift',,
golf_course,WHERE leisure= 'golf_course',,
greengrocer,WHERE shop= 'greengrocer',,
grocery_store,WHERE shop= 'grocery' OR shop= 'general',,
hairdresser,WHERE shop= 'hairdresser',,
hardware_store,WHERE shop= 'doityourself' OR shop= 'hardware',,
health_food_store,WHERE shop= 'health_food',,
high_school,WHERE isced:level = '3',,
hospital,WHERE amenity= 'hospital',,
ice_cream_shop,WHERE amenity = 'ice_cream' OR shop= 'ice_cream',,
ice_rink,WHERE leisure= 'ice_rink',,
